English,Portuguese
matters,assuntos
wrote,escreveu
type,modelo
father's,do pai
Alex,Alex
gosh,poxa
opportunity,oportunidade
king,rei
impossible,impossível
books,livros
machine,máquina
waste,desperdício
th,º
pretend,fingir
named,nomeado
danger,perigo
wall,muro
Liz,Liz
Ian,Ian
Henry,Henry
jump,pular
eating,comendo
proof,prova
complete,completo
slept,dormisse
career,carreira
arrest,prender prisão
star,Estrela
Phyllis,Phyllis
Mac,Mac
breathe,respirar
perfectly,perfeitamente
warm,caloroso
pulled,retirado
Maria,Maria
twice,duas vezes
easier,mais fácil
killer,assassino
goin',entre'
dating,namoro
suit,Traje
romantic,romântico
drugs,drogas
comfortable,confortável
Isaac,Isaac
powers or Powers,poderes ou poderes
finds,achados
checked,verificado
fit,em forma
divorce,divórcio
begin,começar
ourselves,nós mesmos
closer,mais próximo
ruin,ruína
although,Apesar
smile,sorriso
laugh,riso
fish,peixe
Abigail,Abigail
treat,tratar
god's,Deuses
fear,temer
Anna,Anna
what'd,O que
Simone,Simone
Amber,Âmbar
guy's,rapazes
otherwise,por outro lado
excited,animado
mail,correspondência
hiding,se escondendo
cost,custo
green or Green,verde ou verde
stole,roubaram
Pacey,Pacey
noticed,percebido
Liza,Liza
fired,despedido
Daphne,Daphne
Whitney,Whitney
excellent,excelente
lived,vivido
bringing,trazendo
pop,pop
piper or Piper,Piper ou Piper
bottom,fundo
note,Nota
sudden,repentino
church,igreja
bathroom,banheiro
flight,voar
Chad or chad,Chad ou Chad
la or LA,la ou la
honestly,honestamente
sing,este
Katie,Katie
foot,pé
games,Jogos
glass,vidro
N.,N.
Mitch,Mitch
remind,lembrar
bank,banco
Rory,Rory
charges,cobranças
witness,testemunha
finding,encontrando
places,lugares
tree,árvore
dare,Ouse
hardly,dificilmente
that'll,Isso vai
U.,DENTRO.
interest,interesse
steal,roubar
princess,Princesa
silly,boba
contact,contato
teach,Ensinar
shop,fazer compras
plus,mais
colonel,coronel
fresh,fresco
trial,tentativas
invited,convidamos
roll,lista
radio,rádio
art,arte
reach,alcançar
heh,heh
dirty,sujo
choose,escolher
emergency,emergência
dropped,desistiu
butt,bunda
credit,crédito
obvious,óbvio
cry,choro
locked,trancado
Larry,Larry
loving,amoroso
positive,positivo
nuts,nozes
agreed,concordou
Prue,Prue
price or Price,preço ou preço
goodbye,adeus
condition,doença
guard,guarda
fuckin',porra
grow,crescer
cake,bolo
mood,humor
dad's,Pai
Bianca,Bianca
total,total
crap,porcaria
crying,chorando
Paige,Paige
K. or 'k,K. ou 'K
belong,pertencer
lay,colocar
partner,parceiro
trick,truque
pressure,pressão
ohh,Ohh
arm,braço
dressed,vestido
cup,copo
lies,mentiras
bus,ônibus
taste,gosto
neck,pescoço
south,sul
something's,algumas coisas
nurse,enfermeira
raise,levantar
land,terra
cross,Cruz
lots,grande quantidade
mister,senhor
carry,carregar
group,grupo
whoever,quem quer que seja
Eddie,Eddie
drinking,bebendo
they'd,Eles teriam
breaking,quebra
file,Arquivo
lock,trancar
computer,computador
yo,elas
Rebecca,Rebecca
wine,vinho
closed,fechado
writing,escrita
spot,ver
paying,pagando
study,estudar
assume,presumir
asleep,dormindo
man's,Homem
turning,girando
legal,jurídico
justice,justiça
Viki,Viki
Chandler,Chandler
bedroom,quarto
shower,banho
Nikolas,Nikolas
camera,Câmera
fill,encher
reasons,razões
forty,quarenta
bigger,Maior
nope,Não
keys,chaves
Starr,Starr
breath,respiração
doctors,médicos
pants,calça
freak,doido
level,nível
French,Francês
movies,filmes
gee,dar
Monica,Monica
action,ação
area,área
folks,pessoal
Steve,Steve
cream,creme
ugh,eca
continue,Prosseguir
focus,foco
wild,selvagem
truly,verdadeiramente
Jill or jill,Jill ou Jill
desk,mesa
convince,convencer
client,cliente
threw,jogou
Taylor,Taylor
band,banda
hurts,machuca
Charles,Charles
spending,gastar
Neil,Neil
field or Field,campo ou campo
allow,permitir
grand,grande
answers,respostas
shirt,camisa
chair,cadeira
Christ or christ,Cristo ou Cristo
allowed,permitido
rough,rude
doin,fazendo
sees,vê
government,governo
Harry,atormentar
ought,deveria
empty,vazio
round,redondo
lights,luzes
insane,insano
hall or Hall,salão ou salão
hat,Tem
bastard,Desgraçado
wind,vento
shows,shows
aware,consciente
dealing,lidando
pack,pacote
meaning,significado
flowers,flores
tight,apertado
hurting,machucando
ship,navio
subject,sujeito
guest,convidado
mom's,da mãe
chicken,frango
pal,amigo
match,Combine
Elaine,ELINE
arrested,preso
sun,Sol
Rachel,Rachel
Salem,Salem
confused,confuso
surgery,cirurgia
expecting,esperando
deacon,diácono
Colleen,Colleen
unfortunately,infelizmente
goddamn,Maldito
lab,laboratório
passed,passado
bottle,garrafa
beyond,além
whenever,em qualquer momento
pool,piscina
opinion,opinião
naked,nu
held,guardado
common,comum
starts,inicia
jerk,idiota
secrets,Segredos
falling,queda
played,reproduziu
necessary,necessário
barely,por muito pouco
dancing,dançando
health,saúde
tests,testes
copy,cópia de
Keri,Keri
video,vídeo
cousin,prima
planned,planejado
Vanessa,Vanessa
dry,seco
ahem,ahem
twelve,doze
simply,simplesmente
Tess,Tess
Scott,Scott
skin,pele
often,muitas vezes
English,Inglês
fifteen,quinze
spirit,espírito
speech,Fala
names,nomes
issue,questão
orders,ordens
nah,"agora,"
final,final
Michelle,Michelle
America,América
St.,St.
results,resultados
code,código
Ned,Baixa
Bonnie,Bonnie
W.,DENTRO.
believed,acreditava
complicated,complicado
umm,umm
research,pesquisar
nowhere,lugar algum
escape,escapar
biggest,o maior
restaurant,restaurante
page or Page,página ou página
grateful,grato
usual,usual
burn,queimar
Chicago,Chicago
Austin,Austin
address,Morada
within,dentro de
someplace,algum lugar
screw,parafuso
everywhere,em toda parte
train,Comboio
film,filme
regret,arrepender
goodness,bondade
mistakes,erros
heaven or Heaven,céu ou céu
details,detalhes
responsibility,responsabilidade
suspect,suspeito
corner,canto
hero,herói
dumb,idiota
terrific,formidável
Peter,Peter
mission,missão
further,mais longe
Amy,Amy
gas,gás
whoo,Whoo
hole,buraco
memories,recordações
o'clock,O'Clock
Brian,Brian
truck,caminhão
following,Segue
ended,terminou
nobody's,ninguém
Margo,Margo
teeth,dentes
ruined,arruinado
Hank,Hank
split,dividir
Reva,Reva
bear,urso
airport,aeroporto
bite,morder
smoke,fumaça
Stenbeck,Stenbeck
older,Mais velho
liar,mentiroso
horse,cavalo
Gwen,Gwen
showing,mostrando
van or Van,Conselho de Obras de
project,projeto
cards,cartões
desperate,desesperado
themselves,eles mesmos
search,procurar
pathetic,patético
damage,dano
spoke,falou
quickly,rapidamente
scare,susto
Marah,Bravo
G.,G.
beach,de praia
Mia,Meu
brown or Brown,marrom ou marrom
afford,proporcionar
vote,voto
settle,resolver
gold,ouro
re or 're,re ou 're
mentioned,mencionado
ed or -ed,ed ou -ed
due,vencimento
passion,paixão
Y. or -y,Y. ou -y
stayed,fiquei
rule,regra
Friday,Sexta-feira
checking,verificando
tie,gravata
hired,contratado
upon,sobre
rush or Rush,correr ou pressa
Tad,Então
heads,cabeças
concern,interesse
blew,estraguei
natural,natural
Alcazar,ALCAZAR
Kramer,Kramer
champagne,champanhe
connection,conexão
tickets,ingressos
Kate,Kate
finger,dedo
happiness,felicidade
form,Formato
saving,economizando
kissing,se beijando
Martin,Martin
hated,odiado
personally,pessoalmente
suggest,sugerir
prepared,preparado
build,construir
leg,perna
onto,para
leaves,folhas
downstairs,andar de baixo
ticket,bilhete
it'd,É
taught,ensinado
loose,solto
holy,piedosos
staff,funcionários
sea,mar
Asa,Trabalho
planet,planeta
duty,dever
convinced,convencido
throwing,jogando
defense,defesa
Harvey,Harvey
kissed,beijado
legs,pernas
Dave,Dave
according,de acordo com
loud,alto
practice,prática
Andy,Andy
Jess,Jess
Saturday,Sábado
Colin,Colin
bright or Bright,brilhante ou brilhante
Amanda,Amanda
Fraser,Fraser
F.,F.
babies,bebês
army,exército
where'd,onde d
warning,aviso
miracle,milagre
carrying,carregando
flying,vôo
Caleb,Caleb
blind,cego
queen,rainha
ugly,feio
shopping,Shopping
hates,odeia
someone's,de alguém
Seth,Seth
monster,monstro
sight,visão
vampire,vampiro
Rosanna,Rosanna
bride,noiva
coat,casaco
account,conta
states,estados
clearly,claramente
celebrate,comemoro
Nicole,Nicole
brilliant,brilhante
wanting,querendo
Allison,Allison
add,adicionar
moon,lua
Forrester,Forrester
lips,lábios
custody,custódia
center,Centro
screwed,parafusado
buying,comprando
size,Tamanho
toast,brinde
thoughts,pensamentos
Isabella,Isabella
student,aluna
stories,histórias
however,Contudo
professional,profissional
stars,estrelas
reality,realidade
Jimmy or jimmy,Jimmy ou Jimmy
birth,nascimento
Lexie,Lexie
attitude,atitude
advantage,vantagem
grandfather,Vô
Sami,Pegue
sold,vendido
opened,aberto
Lily,Lírio
grandma,Avó
beg,implorar
Edward,Edward
changes,mudanças
Diego,Diego
Cole,Cole
someday,algum dia
grade,avaliar
cheese,queijo
roof,cobertura
Kenny,Kenny
Bobby or bobby,Bobby ou Bobby
pizza,pizza
brothers,irmãos
X. or x,X. ou x
signed,assinado
bird,pássaro
ahh,ahh
marrying,casar
powerful,poderoso
grown,crescido
grandmother,avó
fake,falso
opening,abertura
Sally,Sally
Stephanie,Stephanie
expected,esperado
eventually,eventualmente
must've,deve ter
ideas,Ideias
exciting,excitante
covered,abordado
Parker,Parker
de,do
familiar,familiar
bomb,bombear
bout,ataque
television,televisão
harmony or Harmony,harmonia ou harmonia
color,cor
heavy,pesado
schedule,cronograma
records,registros
H.,H.
dollar,dólar
capable,capaz
master,mestre
numbers,números
Toby,Toby
practically,praticamente
including,Incluindo
correct,correto
clue,dica
forgotten,esquecido
immediately,imediatamente
appointment,compromisso
social,social
nature,natureza
ú,você
deserves,merece
west or West,Oeste ou oeste
Blake,Blake
teacher,professora
threat,ameaça
Frankie,Frankie
bloody,sangrento
lonely,sozinho
Kelly,Kelly
ordered,ordenado
shame,vergonha
Brittany,Brittany
local,local
jacket,jaqueta
hook,gancho
destroyed,destruído
scary,apavorante
loser,perdedor
investigation,investigação
above,acima de
Jamal,Jamal
invite,convidar
shooting,filmagem
merry,alegre
port,porta
precious,precioso
lesson,lição
Roy,Roy
criminal,Criminoso
growing,crescendo
caused,causado
victim,vítima
professor,professor
followed,seguido
funeral,funeral
nothing's,nada é
dean,reitor
considering,considerando
burning,queimando
couch,sofá
strength,força
harder,mais difícil
loss,perda
view,Visão
Gia,Família
beauty,beleza
sisters,irmãs
everybody's,todo mundo
several,de várias
pushed,empurrado
Nicholas,Nicholas
written,escrito
somebody's,de alguém
shock,choque
pushing,empurrando
heat,aquecer
chocolate,chocolate
greatest,o melhor
Holden,Holden
miserable,miserável
Corinthos,Corinthos
nightmare,pesadelo
energy,energia
brings,traz
Zander,Zander
character,personagem
became,passou a ser
famous,famoso
enemy,inimigo
crash,batida
chances,chances
sending,envio
recognize,reconhecer
healthy,saudável
boring,tedioso
feed,alimentação
engaged,noivo
Sarah,Sarah
percent,por cento
headed,indo
Brandon,Brandon
lines,linhas
treated,tratado
purpose,propósito
north or North,norte ou norte
knife,faca
rights,direitos
drag,arrastar
San,San
fan,fã
badly,seriamente
speed,Rapidez
Santa,Papai Noel
hire,contratar
curious,curioso
paint,pintar
pardon,perdão
Jackson,Jackson
built,construído
behavior,comportamento
closet,armário
candy or Candy,doces ou doces
Helena,Helena
warn,avisar
gorgeous,linda
post,publicar
